artist,origin_country,genre
 Drake Featuring Future & Young Thug,Canada,Country
Olivia Rodrigo ,Australia,Pop
DUA LIPA ,Australia,Country
ed sheeran,UK,Pop
 Doja Cat Featuring Sza  ,Canada,Rock
  wizkid featuring justin bieber & tems ,US,Pop
 COLDPLAY X BTS ,UK,Country
glass animals,Canada,Rock
doja cat & the weeknd,UK,Pop
The Weeknd & Ariana Grande,Canada,R&B
 DRAKE FEATURING 21 SAVAGE & PROJECT PAT ,Australia,Country
" nardo wick featuring g herbo, lil durk & 21 savage  ",Canada,R&B
 Young Thug With Drake & Travis Scott  ,Canada,R&B
  ELTON JOHN & DUA LIPA ,Australia,Country
Olivia Rodrigo ,UK,Hip-Hop
 lil nas x ,US,Country
 Ryan Hurd With Maren Morris ,UK,Hip-Hop
 DRAKE FEATURING LIL BABY ,Australia,Country
THE WEEKND,Canada,Pop
  LIL NAS X ,Canada,Country
 Farruko,Canada,Hip-Hop
 Billie Eilish  ,Canada,Pop
 Ckay  ,Canada,Rock
 The Anxiety: Willow & Tyler Cole ,UK,Pop
JORDAN DAVIS FEATURING LUKE BRYAN ,Canada,Hip-Hop
  TAI VERDES ,Australia,R&B
elvie shane,UK,R&B
  Justin Bieber ,Canada,Rock
 Chris Stapleton ,US,R&B
 LUKE COMBS,Australia,Rock
 old dominion ,US,Rock
  Silk Sonic (Bruno Mars & Anderson .Paak) ,Canada,Rock
 LOZA ALEXANDER,UK,R&B
 CAPELLA GREY,Canada,Country
 Normani Featuring Cardi B  ,Australia,Pop
drake featuring travis scott ,US,R&B
 Marshmello X Jonas Brothers  ,UK,Rock
  OLIVIA RODRIGO,US,Country
 dustin lynch featuring lauren alaina or mackenzie porter ,US,Rock
 Baby Keem & Kendrick Lamar ,Canada,R&B
 JAMESON RODGERS FEATURING LUKE COMBS ,Canada,Country
Zac Brown Band ,US,Rock
 Summer Walker & Jt ,Australia,Pop
 neiked x mae muller x polo g  ,UK,Pop
" YUNG BLEU, CHRIS BROWN & 2 CHAINZ ",US,Hip-Hop
Roddy Ricch ,Australia,Hip-Hop
  dua lipa,Australia,Rock
  KANE BROWN X BLACKBEAR  ,Australia,Rock
 Blxst & Tyga Featuring Ty Dolla $Ign,US,R&B
 KENNY CHESNEY ,Canada,Rock
  doja cat  ,US,Pop
  Ivan Cornejo  ,Canada,Country
 REALESTK ,US,Rock
  YOUNG THUG WITH POST MALONE & A$AP ROCKY,UK,Country
Young Thug With J. Cole & T-Shyne ,UK,Pop
 BIA FEATURING NICKI MINAJ,UK,R&B
 GUNNA & FUTURE ,Australia,Country
 Sleepy Hallow,US,Rock
"tainy, bad bunny & julieta venegas  ",US,R&B
MORGAN WALLEN,US,R&B
aventura x bad bunny ,Australia,Country
cody johnson,Australia,Country
 ESLABON ARMADO FEATURING DANNYLUX ,UK,Hip-Hop
Young Thug With Juice Wrld ,UK,R&B
 Bad Bunny ,US,Rock
 kane brown,US,R&B
michael ray,UK,Country
 MEGAN THEE STALLION,UK,Country
 Jon Pardi ,Australia,Country
jimmie allen & brad paisley,Australia,Pop
 42 dugg featuring future ,Canada,R&B
  doja cat ,UK,R&B
  Drake ,US,R&B
 Giveon,US,R&B
 kanye west ,Australia,Rock
 drake  ,Australia,Rock
coldplay x selena gomez ,US,Country
grupo firme  ,UK,Rock
scotty mccreery,Canada,Rock
DRAKE FEATURING LIL DURK & GIVEON,UK,Pop
 Young Thug With Future & Bslime,UK,R&B
jonas brothers  ,US,Rock
 Pop Smoke Featuring Chris Brown ,Canada,R&B
 DON TOLIVER FEATURING TRAVIS SCOTT,UK,R&B
 priscilla block,Australia,Hip-Hop
 Lil Nas X & Jack Harlow,Canada,Rock
 the kid laroi & justin bieber ,Australia,Pop
 Ed Sheeran,Australia,Country
drake featuring future & young thug ,Australia,Country
 doja cat featuring sza,Canada,R&B
WIZKID FEATURING JUSTIN BIEBER & TEMS  ,US,Rock
 Glass Animals  ,US,Hip-Hop
 Drake Featuring 21 Savage & Project Pat,UK,Hip-Hop
  maneskin ,Canada,Country
 doja cat & the weeknd ,Australia,Rock
" Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage ",Canada,Hip-Hop
Coldplay X Bts,Australia,Pop
 jason aldean & carrie underwood ,US,Hip-Hop
 Lil Nas X,Australia,Country
 DRAKE FEATURING LIL BABY ,US,R&B
 ryan hurd with maren morris ,US,R&B
 THE WEEKND ,UK,Country
  farruko ,Australia,Hip-Hop
 Elvie Shane ,Australia,Rock
BILLIE EILISH ,Australia,Hip-Hop
 CKAY ,Australia,Pop
 JUSTIN BIEBER,US,Country
jameson rodgers featuring luke combs ,US,Rock
  TAI VERDES ,UK,Hip-Hop
 Lee Brice  ,US,Pop
  Meek Mill Featuring Lil Baby & Lil Durk ,Australia,Pop
OLD DOMINION,UK,Rock
  silk sonic (bruno mars & anderson .paak)  ,US,Pop
 jordan davis featuring luke bryan,US,Hip-Hop
justin bieber featuring daniel caesar & giveon,UK,Country
olivia rodrigo,Australia,R&B
Chris Stapleton ,US,Rock
 the anxiety: willow & tyler cole,Canada,Country
 Capella Grey ,US,Pop
 Dua Lipa,Australia,Hip-Hop
 Marshmello X Jonas Brothers ,US,Hip-Hop
 Baby Keem & Kendrick Lamar ,US,Hip-Hop
 Kanye West ,Australia,Hip-Hop
"  TAINY, BAD BUNNY & JULIETA VENEGAS ",US,Rock
 NORMANI FEATURING CARDI B ,Australia,Country
 Don Toliver Featuring Travis Scott,Canada,Pop
chloe  ,UK,R&B
DUSTIN LYNCH FEATURING LAUREN ALAINA OR MACKENZIE PORTER ,Canada,Pop
" YUNG BLEU, CHRIS BROWN & 2 CHAINZ",US,Hip-Hop
roddy ricch ,UK,Country
  bia featuring nicki minaj  ,Canada,Rock
Kane Brown X Blackbear  ,Canada,Hip-Hop
 IVAN CORNEJO,Canada,Rock
kenny chesney  ,Canada,R&B
 Doja Cat ,Australia,Pop
 zac brown band ,Canada,Country
 Blxst & Tyga Featuring Ty Dolla $Ign,Australia,Pop
 Aventura X Bad Bunny,Australia,Hip-Hop
adele,UK,Pop
Eslabon Armado Featuring Dannylux,US,Rock
rauw alejandro,Canada,R&B
MEGAN THEE STALLION ,US,Hip-Hop
 Morgan Wallen,UK,Country
 Chase Rice Featuring Florida Georgia Line ,US,Pop
Drake ,UK,Country
 Realestk ,UK,Country
BAD BUNNY ,Canada,Country
KANE BROWN  ,US,Hip-Hop
  Scotty Mccreery  ,Australia,Country
  Joyner Lucas & J. Cole  ,Canada,Rock
  DRAKE FEATURING LIL DURK & GIVEON ,Canada,Hip-Hop
Shawn Mendes & Tainy,UK,Country
  42 dugg featuring future  ,Australia,Pop
 Jon Pardi ,UK,Rock
luke bryan,Canada,Hip-Hop
 youngboy never broke again ,Australia,Country
LADY A ,US,Rock
 POP SMOKE FEATURING CHRIS BROWN,Australia,Hip-Hop
Youngboy Never Broke Again ,Australia,Country
jonas brothers,Australia,Country
 priscilla block ,US,Rock
 GIVEON,Canada,Rock
 KANYE WEST ,US,Hip-Hop
 youngboy never broke again ,Australia,Pop
  The Kid Laroi & Justin Bieber,Canada,Rock
drake featuring future & young thug,UK,Country
OLIVIA RODRIGO ,US,R&B
doja cat featuring sza ,Canada,Country
  drake featuring 21 savage & project pat,Australia,Country
  Wizkid Featuring Justin Bieber & Tems,US,R&B
 ed sheeran  ,US,Rock
 COLDPLAY X BTS  ,US,Hip-Hop
  DOJA CAT  ,Canada,R&B
 The Weeknd & Ariana Grande ,US,Rock
 glass animals,Canada,Country
jason aldean & carrie underwood ,Australia,Rock
 Drake Featuring Lil Baby ,Canada,R&B
  olivia rodrigo  ,Australia,Pop
  The Weeknd ,Australia,Rock
 MEEK MILL FEATURING LIL BABY & LIL DURK ,UK,Country
 ryan hurd with maren morris ,Australia,Pop
 farruko,UK,Rock
 LIL NAS X,UK,Country
 Moneybagg Yo ,UK,Hip-Hop
  JAMESON RODGERS FEATURING LUKE COMBS ,Canada,Country
Billie Eilish  ,US,Pop
Drake Featuring Travis Scott,UK,Hip-Hop
tai verdes,Australia,Pop
 CKAY ,Canada,Pop
  meek mill ,US,Pop
Silk Sonic (Bruno Mars & Anderson .Paak),UK,R&B
CAPELLA GREY,Australia,Hip-Hop
 Justin Bieber Featuring Daniel Caesar & Giveon ,Canada,Pop
ELVIE SHANE ,Australia,Rock
 JORDAN DAVIS FEATURING LUKE BRYAN,Canada,Pop
  Kanye West ,Canada,R&B
BABY KEEM & KENDRICK LAMAR,UK,Rock
  roddy ricch  ,US,Pop
 Chloe,US,Rock
 CHRIS STAPLETON,US,Country
 BIA FEATURING NICKI MINAJ  ,Canada,R&B
 luke combs,Canada,R&B
SCOTTY MCCREERY ,UK,Hip-Hop
elle king & miranda lambert ,Australia,Hip-Hop
"  Yung Bleu, Chris Brown & 2 Chainz ",Canada,Hip-Hop
  Dustin Lynch Featuring Lauren Alaina Or Mackenzie Porter ,Australia,R&B
 BTS ,Canada,R&B
 meek mill featuring moneybagg yo,Australia,Rock
  DOJA CAT ,US,Country
 sleepy hallow,US,Pop
  DRAKE,Australia,Country
 drake,UK,R&B
 MEEK MILL ,Australia,Hip-Hop
MEGAN THEE STALLION ,Canada,Rock
 CHASE RICE FEATURING FLORIDA GEORGIA LINE  ,UK,Pop
 MEEK MILL FEATURING LIL UZI VERT ,Canada,Rock
aventura x bad bunny,Australia,Rock
  RAUW ALEJANDRO ,Canada,Hip-Hop
 ESLABON ARMADO FEATURING DANNYLUX  ,Australia,Rock
  MEEK MILL,Australia,Rock
"skylar grey, polo g, mozzy & eminem ",UK,Rock
 drake featuring lil durk & giveon,Canada,Pop
  blxst & tyga featuring ty dolla $ign  ,Canada,Pop
Youngboy Never Broke Again,UK,Country
Bad Bunny,UK,Pop
 TWICE ,Australia,Pop
 doja cat,US,Country
youngboy never broke again ,UK,Hip-Hop
LUKE BRYAN ,Canada,R&B
 meek mill featuring a$ap ferg ,Australia,Country
 meek mill  ,UK,Rock
Lil Wayne Featuring Rich The Kid ,Australia,Pop
morgan wallen ,Australia,Pop
 meek mill featuring kehlani,US,R&B
  MICHAEL RAY ,UK,Rock
DRAKE,Australia,Hip-Hop
 Drake Featuring Jay-Z  ,UK,Pop
YOUNGBOY NEVER BROKE AGAIN  ,UK,Country
  drake featuring future & young thug  ,Canada,Rock
  Olivia Rodrigo  ,Canada,R&B
doja cat featuring sza,US,Pop
 Drake Featuring 21 Savage & Project Pat ,Canada,Hip-Hop
drake featuring lil baby,Canada,Country
 Doja Cat & The Weeknd ,UK,Hip-Hop
 MANESKIN,US,R&B
 MONEYBAGG YO ,Australia,Rock
Jason Aldean & Carrie Underwood  ,US,Rock
 THE WEEKND  ,Australia,Country
 Lil Nas X,US,Rock
 JAMESON RODGERS FEATURING LUKE COMBS ,Canada,R&B
 Ryan Hurd With Maren Morris ,Australia,R&B
 FARRUKO ,US,Rock
JOYNER LUCAS & J. COLE ,Australia,Pop
  kanye west ,Canada,Country
 BTS ,UK,Pop
youngboy never broke again,UK,Hip-Hop
Gunna & Future ,UK,Pop
 MARSHMELLO X JONAS BROTHERS,Australia,R&B
  JUSTIN BIEBER FEATURING DANIEL CAESAR & GIVEON ,UK,Rock
  LEE BRICE  ,Canada,Country
 roddy ricch,US,R&B
 Lainey Wilson ,Australia,Rock
  the anxiety: willow & tyler cole  ,Australia,Country
 CHLOE ,UK,R&B
 DUA LIPA  ,UK,Hip-Hop
 Youngboy Never Broke Again  ,UK,Pop
  Scotty Mccreery ,US,R&B
Capella Grey ,Australia,R&B
 Elvie Shane ,Canada,Pop
  elle king & miranda lambert ,Australia,R&B
 luke bryan ,UK,Pop
 Meek Mill Featuring Lil Baby & Lil Durk ,UK,Hip-Hop
DRAKE FEATURING LIL DURK & GIVEON ,Canada,Pop
 Megan Thee Stallion,Australia,Country
 LIZZO FEATURING CARDI B ,Australia,Pop
 sleepy hallow,Australia,Hip-Hop
 kane brown x blackbear,US,Rock
chris stapleton ,UK,Hip-Hop
 CHASE RICE FEATURING FLORIDA GEORGIA LINE,UK,Hip-Hop
  youngboy never broke again,UK,Rock
  AVENTURA X BAD BUNNY,US,Hip-Hop
 rauw alejandro ,US,Country
 Drake Featuring Jay-Z ,Canada,R&B
DRAKE FEATURING FUTURE ,Canada,R&B
 bad bunny  ,US,Rock
  Giveon  ,Australia,Rock
SHAWN MENDES & TAINY,Canada,Rock
 zac brown band ,Canada,Hip-Hop
 drake  ,US,Country
The Kid Laroi & Justin Bieber,Canada,Country
 Drake Featuring Future & Young Thug ,Canada,Pop
 Walker Hayes ,Australia,Country
olivia rodrigo ,Canada,Hip-Hop
 doja cat featuring sza ,US,Country
drake featuring 21 savage & project pat ,Australia,Pop
 Lil Nas X ,Canada,Hip-Hop
  dua lipa,Australia,Pop
 Wizkid Featuring Justin Bieber & Tems,Australia,Rock
DRAKE FEATURING TRAVIS SCOTT ,US,R&B
Glass Animals,Australia,Rock
 Doja Cat & The Weeknd,Canada,R&B
Maneskin  ,UK,Rock
  THE WEEKND,Canada,R&B
 jason aldean & carrie underwood,Australia,Country
bts  ,UK,Country
 Farruko,Canada,Pop
 Billie Eilish ,UK,Rock
 LAINEY WILSON,UK,Rock
  Moneybagg Yo ,Canada,R&B
Justin Bieber Featuring Daniel Caesar & Giveon ,UK,Country
Taylor Swift ,US,Country
 BABY KEEM & KENDRICK LAMAR  ,US,R&B
 DRAKE ,Australia,Country
  duncan laurence ,US,Hip-Hop
  lil nas x featuring doja cat ,Australia,Hip-Hop
the anxiety: willow & tyler cole,Australia,Hip-Hop
 Roddy Ricch ,US,Country
 lizzo featuring cardi b ,Canada,Hip-Hop
  Lil Nas X Featuring Megan Thee Stallion,UK,Pop
 MEGAN THEE STALLION  ,US,Rock
Normani Featuring Cardi B ,US,R&B
  old dominion,Australia,Country
Lee Brice ,UK,Hip-Hop
Chloe,UK,R&B
  drake featuring future,Australia,Hip-Hop
 LUKE BRYAN,Australia,Country
 Meek Mill Featuring Lil Baby & Lil Durk ,US,Pop
dababy x lil wayne ,US,R&B
  sleepy hallow ,Canada,Country
 ELVIE SHANE ,Canada,R&B
  LUKE COMBS ,Australia,Pop
elle king & miranda lambert ,US,R&B
 Kane Brown X Blackbear ,US,Country
 Elton John & Dua Lipa  ,Canada,Rock
AVENTURA X BAD BUNNY ,Australia,R&B
kanye west ,Australia,Hip-Hop
 CHASE RICE FEATURING FLORIDA GEORGIA LINE ,US,R&B
"  YUNG BLEU, CHRIS BROWN & 2 CHAINZ  ",Australia,Hip-Hop
 CKAY ,UK,Pop
Dustin Lynch Featuring Lauren Alaina Or Mackenzie Porter,UK,Rock
 RAUW ALEJANDRO,Australia,Country
 Bad Bunny,Canada,Rock
 shawn mendes & tainy ,Australia,Hip-Hop
 lil nas x featuring elton john,Australia,Country
  Lil Nas X,UK,Pop
 J Balvin & Skrillex,Australia,Pop
Silk Sonic (Bruno Mars & Anderson .Paak),UK,Pop
 Kenny Chesney,US,Country
 Lil Nas X Featuring Miley Cyrus,Canada,Rock
zac brown band,Australia,Hip-Hop
 H.E.R. FEATURING CHRIS BROWN ,Canada,Rock
  Camila Cabello,US,Pop
  the kid laroi & justin bieber  ,UK,Hip-Hop
 DRAKE FEATURING FUTURE & YOUNG THUG ,Canada,Country
 WALKER HAYES  ,US,Country
 LIL NAS X & JACK HARLOW ,UK,Pop
  Dua Lipa ,Australia,R&B
  DRAKE FEATURING TRAVIS SCOTT  ,UK,R&B
  The Weeknd & Ariana Grande  ,Canada,Country
  lil nas x ,Canada,Country
 bts ,US,R&B
 Ed Sheeran  ,Canada,R&B
wizkid featuring justin bieber & tems ,US,R&B
 Doja Cat & The Weeknd  ,US,Pop
 DRAKE ,US,Country
 The Weeknd,Canada,Hip-Hop
  BABY KEEM & KENDRICK LAMAR,UK,Pop
  CHLOE ,Canada,Hip-Hop
DRAKE FEATURING LIL DURK & GIVEON ,US,Pop
 Marshmello X Jonas Brothers ,UK,Hip-Hop
 drake featuring future ,US,Rock
 lainey wilson ,US,Pop
 Ryan Hurd With Maren Morris ,UK,R&B
 Justin Bieber Featuring Daniel Caesar & Giveon ,US,Country
 DUNCAN LAURENCE,US,Hip-Hop
LIZZO FEATURING CARDI B ,Canada,Hip-Hop
 Tai Verdes ,US,Hip-Hop
THOMAS RHETT ,Australia,Rock
  megan thee stallion  ,Australia,R&B
  MONEYBAGG YO  ,UK,Pop
LUKE BRYAN ,US,Rock
BABY KEEM & KENDRICK LAMAR ,US,R&B
 DUA LIPA ,UK,Pop
  Old Dominion ,UK,R&B
 NORMANI FEATURING CARDI B ,Canada,Hip-Hop
dj khaled featuring lil baby & lil durk,US,Hip-Hop
LEE BRICE,US,Pop
 the anxiety: willow & tyler cole ,Australia,Pop
meek mill featuring lil baby & lil durk ,UK,Pop
 dababy x lil wayne ,Canada,Pop
 SCOTTY MCCREERY ,Canada,Pop
SILK SONIC (BRUNO MARS & ANDERSON .PAAK),Australia,Pop
drake featuring kid cudi  ,US,Hip-Hop
 ELLE KING & MIRANDA LAMBERT,Australia,Rock
 ELVIE SHANE  ,US,Country
 Drake & Yebba,Australia,Pop
 chase rice featuring florida georgia line,UK,Country
 Drake Featuring Ty Dolla $Ign  ,US,Rock
 luke combs ,US,Country
  Aventura X Bad Bunny  ,Australia,Hip-Hop
 KANE BROWN X BLACKBEAR,UK,R&B
 Rauw Alejandro,Australia,R&B
 Drake Featuring Lil Wayne & Rick Ross,Australia,Rock
 LISA,Canada,Country
 Drake Featuring Tems ,Australia,Hip-Hop
 cole swindell ,Canada,Pop
  J Balvin & Skrillex ,Australia,Hip-Hop
H.E.R. Featuring Chris Brown,UK,Rock
justin moore,Australia,Country
 elton john & dua lipa ,UK,Pop
 Kenny Chesney ,UK,Country
 Drake Featuring Lil Baby  ,Canada,Hip-Hop
  Drake Featuring Travis Scott ,Canada,Pop
 the kid laroi & justin bieber  ,Canada,Rock
  drake featuring lil durk & giveon ,UK,R&B
 drake  ,Canada,R&B
  bts,US,Rock
 walker hayes  ,Canada,Country
  drake featuring kid cudi  ,UK,Rock
 drake featuring lil wayne & rick ross,UK,R&B
 DRAKE FEATURING TEMS ,US,Hip-Hop
drake featuring ty dolla $ign  ,US,Hip-Hop
Kanye West ,UK,Rock
glass animals ,Australia,Pop
 Wizkid Featuring Justin Bieber & Tems,UK,Hip-Hop
  Doja Cat & The Weeknd  ,Canada,Rock
 maneskin ,Canada,Rock
 marshmello x jonas brothers  ,UK,Rock
  JASON ALDEAN & CARRIE UNDERWOOD ,Canada,Hip-Hop
  Justin Bieber Featuring Daniel Caesar & Giveon ,UK,Rock
  LUKE BRYAN,Canada,R&B
Kanye West ,Australia,Rock
  thomas rhett ,Canada,Rock
 ryan hurd with maren morris ,Australia,R&B
duncan laurence ,Australia,Country
 MEGAN THEE STALLION ,Australia,Country
Tai Verdes  ,UK,Rock
OLD DOMINION,UK,Hip-Hop
 MONEYBAGG YO,Australia,Pop
 DJ KHALED FEATURING LIL BABY & LIL DURK,US,R&B
 KANYE WEST,Canada,R&B
 BIA FEATURING NICKI MINAJ ,US,Hip-Hop
  Lee Brice ,Australia,Hip-Hop
  Rauw Alejandro,UK,Pop
 Jordan Davis Featuring Luke Bryan ,Australia,Country
 SLEEPY HALLOW,Canada,Rock
luke combs  ,US,Country
 justin moore,UK,R&B
  capella grey,Australia,Hip-Hop
 Meek Mill Featuring Lil Uzi Vert,UK,Country
doja cat ,UK,Pop
 COLE SWINDELL  ,UK,Country
 CHRIS STAPLETON ,US,Hip-Hop
Camila Cabello ,US,Rock
 DUSTIN LYNCH FEATURING LAUREN ALAINA OR MACKENZIE PORTER ,UK,R&B
  kanye west ,US,Pop
Doja Cat  ,Australia,Hip-Hop
POST MALONE,Australia,Country
"  Yung Bleu, Chris Brown & 2 Chainz  ",Australia,Hip-Hop
bts,UK,Hip-Hop
The Kid Laroi & Justin Bieber ,US,Hip-Hop
ed sheeran  ,Canada,R&B
  doja cat featuring sza ,Australia,Hip-Hop
the weeknd & ariana grande ,US,Hip-Hop
 Doja Cat & The Weeknd,UK,Rock
 Meek Mill Featuring Lil Baby & Lil Durk,Canada,R&B
lizzo featuring cardi b  ,Canada,R&B
Marshmello X Jonas Brothers ,Australia,Country
MANESKIN ,US,R&B
 FARRUKO ,UK,Rock
Luke Bryan ,Canada,Country
 billie eilish,Canada,Country
 LAINEY WILSON ,US,Pop
 roddy ricch ,US,R&B
 dj khaled featuring lil baby & lil durk ,UK,R&B
Thomas Rhett ,US,R&B
  CHASE RICE FEATURING FLORIDA GEORGIA LINE  ,Canada,Rock
 Halsey,UK,R&B
 old dominion,US,Hip-Hop
 RAUW ALEJANDRO ,US,Hip-Hop
normani featuring cardi b  ,US,Country
 kane brown x blackbear  ,UK,Pop
  LEE BRICE ,UK,Hip-Hop
 elle king & miranda lambert  ,Canada,Rock
 SCOTTY MCCREERY,Canada,Hip-Hop
Cole Swindell ,Canada,Pop
shawn mendes & tainy ,Canada,Hip-Hop
POST MALONE  ,UK,Hip-Hop
  CAMILA CABELLO,Australia,Hip-Hop
 CHRIS STAPLETON ,Australia,Country
H.E.R. FEATURING CHRIS BROWN  ,Canada,Country
"YUNG BLEU, CHRIS BROWN & 2 CHAINZ ",Canada,Rock
kenny chesney,Australia,Country
nio garcia x j balvin x bad bunny  ,Australia,R&B
 LIL TECCA & GUNNA,UK,Pop
Trippie Redd Featuring Juice Wrld ,US,Hip-Hop
  ed sheeran,Australia,Country
 DOJA CAT FEATURING SZA,Australia,R&B
WALKER HAYES  ,Australia,R&B
 wizkid featuring justin bieber & tems,UK,Pop
 silk sonic (bruno mars & anderson .paak),Canada,Rock
  justin bieber featuring daniel caesar & giveon,Australia,Pop
Giveon ,UK,Pop
marshmello x jonas brothers,Australia,Country
  Billie Eilish ,Australia,Pop
 LUKE COMBS ,US,Country
LUKE BRYAN ,Canada,Rock
 dj khaled featuring lil baby & lil durk ,US,Pop
 FARRUKO ,Australia,Country
  megan thee stallion ,US,R&B
 DUNCAN LAURENCE ,US,Pop
  Lainey Wilson ,US,Pop
dan + shay ,UK,Hip-Hop
THE KID LAROI,UK,Pop
SILK SONIC (BRUNO MARS & ANDERSON .PAAK) ,Canada,Hip-Hop
 Masked Wolf,UK,Hip-Hop
 polo g  ,Canada,Rock
 thomas rhett ,UK,Hip-Hop
chris young + kane brown ,UK,R&B
 nelly & florida georgia line,UK,Country
  MAROON 5 FEATURING MEGAN THEE STALLION ,Canada,Rock
 Trippie Redd Featuring Juice Wrld ,UK,Hip-Hop
Bia Featuring Nicki Minaj,Canada,Hip-Hop
 SLEEPY HALLOW ,Australia,Rock
tai verdes,Australia,Hip-Hop
 CHASE RICE FEATURING FLORIDA GEORGIA LINE ,Canada,R&B
 dua lipa  ,Canada,R&B
  AVENTURA X BAD BUNNY  ,Canada,Pop
TRIPPIE REDD FEATURING LIL DURK & POLO G,Australia,Hip-Hop
  Normani Featuring Cardi B ,Canada,R&B
 rod wave featuring lil durk,Australia,Country
ELLE KING & MIRANDA LAMBERT  ,US,Country
 POST MALONE ,Canada,Country
 Trippie Redd Featuring Drake ,Canada,Hip-Hop
"skrillex, justin bieber & don toliver ",Australia,Hip-Hop
ROD WAVE ,Australia,Hip-Hop
  KANE BROWN ,US,R&B
 TRIPPIE REDD FEATURING LIL UZI VERT ,US,Country
trippie redd & playboi carti,Canada,Rock
 LUKE COMBS ,UK,Pop
Elvie Shane ,Australia,Pop
